आफ्रिकाखण्डः	África
रवीन्द्रनाथ ठाकुरः	Rabindranath Tagore
एलेन ट्यूरिंग	Alan Turing
बाड्मिण्टन्-क्रीडा	Bádminton
गुस्तावः मालेरः	Gustav Mahler
नात्सी पार्टी	Partido Nacionalsocialista Obrero Alemán
सिन्धूनदी	Río Indo
दक्षिणध्रुवीयमहासागरः	Océano Antártico
हुआंग हे नदी	Río Amarillo
कर्णः	Oído
नासिका	Nariz
अक्षि	Ojo
एल्फ़्रेड हिचकॉक	Alfred Hitchcock
सस्तनः	Mammalia
आण्ड्रे अगास्सि	Andre Agassi
डच भाषा	Idioma neerlandés
मार्गरेट थाचर	Margaret Thatcher
डारोति क्रोफट् हाज्किन्	Dorothy Crowfoot Hodgkin
पुष्पशाकम्	Brassica oleracea var. botrytis
वृन्ताकः	Solanum melongena
इंगमार बर्गमान	Ingmar Bergman
माता	Madre
१८२८	1828
१८२९	1829
१७४१	1741
१६६२	1662
१७४२	1742
१८३०	1830
१६६३	1663
१८३१	1831
१७४३	1743
१६६४	1664
१६६५	1665
१७४४	1744
१८३२	1832
१६६६	1666
१७४५	1745
१८३३	1833
१६६७	1667
१७४६	1746
परिवहनम्	Transporte
१८३४	1834
१६६८	1668
१७४७	1747
१८३५	1835
१७४८	1748
१८३६	1836
१६६९	1669
लियोनार्ड ओइलर	Leonhard Euler
१६७०	1670
१७४९	1749
१८३७	1837
१६७१	1671
१७५०	1750
१८३८	1838
१६७२	1672
१७५१	1751
१८३९	1839
१६७३	1673
१७५२	1752
१८४०	1840
१६७४	1674
१७५३	1753
१८४१	1841
१७५४	1754
१६७५	1675
१८४२	1842
१७५५	1755
१६७६	1676
१६७७	1677
१७५६	1756
१८४४	1844
१६७८	1678
१७५७	1757
१६७९	1679
१७५८	1758
१८४६	1846
१६८०	1680
१७५९	1759
१८४७	1847
१६८१	1681
१७६०	1760
१८४८	1848
१६८२	1682
१७६१	1761
१८४९	1849
१६८३	1683
१७६२	1762
१८५०	1850
१६८४	1684
१७६३	1763
१८५१	1851
१७६४	1764
१६८५	1685
१८५२	1852
१६८६	1686
१७६५	1765
१८५३	1853
१६८७	1687
१७६६	1766
१८५४	1854
१६८८	1688
१७६७	1767
१८५५	1855
१६८९	1689
१७६८	1768
१८५६	1856
१६९०	1690
१७६९	1769
१६९१	1691
१७७०	1770
१८५८	1858
१६९२	1692
१७७१	1771
१८५९	1859
१६९३	1693
१७७२	1772
१८६०	1860
१७७३	1773
१८६१	1861
१६९४	1694
१६९५	1695
१७७४	1774
१८६२	1862
१६९६	1696
१७७५	1775
१८६३	1863
१६९७	1697
१७७६	1776
१८६४	1864
१६९८	1698
१८६५	1865
१७७७	1777
१६९९	1699
१८६६	1866
१७७८	1778
१७७९	1779
१८६७	1867
१७८०	1780
१८६८	1868
१७८१	1781
१८६९	1869
जलकूर्दनक्रीडा	Salto (natación)
रूसी भाषा	Idioma ruso
१७८२	1782
१८७०	1870
१७८३	1783
१८७१	1871
व्लाडिमिर पुटिन	Vladímir Putin
१७८४	1784
१८७२	1872
१७८५	1785
१८७३	1873
१७८६	1786
१८७४	1874
१७८७	1787
१८७५	1875
१७८८	1788
१८७६	1876
१७८९	1789
१८७७	1877
१७९०	1790
१८७८	1878
१८७९	1879
१७९१	1791
रोटी	Pan
१७९२	1792
१८८०	1880
१७९३	1793
१८८१	1881
विश्व संस्थानस्य शैक्षणिक, वैज्ञानिक, सांस्कृतिक संस्थानम्	Unesco
होमर सिम्प्सन	Homer Simpson
१७९४	1794
१८८२	1882
१७९५	1795
१८८३	1883
१७९६	1796
१८८४	1884
१७९७	1797
१८८५	1885
१८८६	1886
१७९८	1798
१८८७	1887
१७९९	1799
मार्ज सिम्प्सन	Marge Simpson
१८८८	1888
१८८९	1889
१८९०	1890
म्यागी सिम्प्सन	Maggie Simpson
१८९१	1891
१८९२	1892
१८९३	1893
१८९४	1894
१८९५	1895
१८९६	1896
१८९७	1897
१८९८	1898
चीनी भाषा	Idioma chino
१८९९	1899
रक्तम्	Sangre
अस्थिपञ्जरः	Esqueleto
फुफ्फुसः	Pulmones
हिमप्रपात	Alud
भूकम्पः	Terremoto
खानिजः	Mineral
सत्यम्	Verdad
मूषकम्	Ratón (informática)
प्राकृतिकविज्ञानम्	Ciencias naturales
सेर्गे आइसेन्स्टाइन	Serguéi Eisenstein
अकिरा कुरोसावा	Akira Kurosawa
फ़्राँक्लिन रुज़वेल्ट	Franklin D. Roosevelt
अविसेन्न	Avicena
विन्स्टन चर्चिल	Winston Churchill
नेल्सन् मण्डेला	Nelson Mandela
मार्टिन् लूथर् किङ्ग् (ज्यू)	Martin Luther King
प्राकृतिकी आपद्	Desastre natural
प्लावनम्	Inundación
सुनामी	Tsunami
अग्निपर्वतः	Volcán
चक्रवातः	Tornado
व्याकरणम्	Gramática
प्रभञ्जन	Ciclón tropical
तेलुगु	Idioma télugu
वायुमण्डलम्	Atmósfera
अर्थशास्त्रम् (ग्रन्थः)	Economía
भाषाविज्ञानम्	Lingüística
लिपयः	Sistema de escritura
साक्षरता	Alfabetización
विराटनगर	Biratnagar
वर्गः:साहित्यम्	Categoría:Literatura
महाभारतम्	Majabhárata
सिकन्दर महान	Alejandro Magno
कान्स्टण्टैन १	Constantino I (emperador)
हस्तकन्दुकक्रीडा	Balonmano
सभ्यता	Civilización
ओट्टो वॉन बिस्मार्क	Otto von Bismarck
तैमुरलंग	Tamerlán
पीटर महान (रूस)	Pedro I de Rusia
काफीपेयम्	Café
फलरसः	Zumo
क्षीरम्	Leche
पर्वताः	Montaña
हरि रुद नदी	Río Hari Rud
मरुस्थलीयभूमिः	Desierto
सलाउद्दीन	Saladino
अशोकः	Aśoka
अक्बरः	Akbar
साइमन बोलीवार	Simón Bolívar
क्वामे एन्क्रूमाह	Kwame Nkrumah
हांग् कांग् नगरम्	Hong Kong
कराची	Karachi
अरब-इस्रैल सङ्घर्षः	Conflicto árabe-israelí
वाल्ट डिज्नी	Walt Disney
आर्किमिडीस्	Arquímedes
थामस् एडिसन्	Thomas Alva Edison
एन्रीको फर्मी	Enrico Fermi
हेन्री फोर्ड	Henry Ford
जोसेफ फोरिए	Jean-Baptiste Joseph Fourier
गेलेन्	Galeno
कोषि अगस्टीन् लूयी	Augustin Louis Cauchy
सत्यजित राय	Satyajit Ray
स्टीवन स्पीलबर्ग	Steven Spielberg
योहानेस केप्लर्	Johannes Kepler
माक्स प्लान्क	Max Planck
निकोला टेस्ला	Nikola Tesla
चाणक्यः	Chanakia
गाटफ्रीड् लैबनिट्ज्	Gottfried Leibniz
कार्ल मार्क्स	Karl Marx
विद्या	Conocimiento
लेतुवाभाषा	Idioma lituano
हिन्दूधर्मः	Hinduismo
कुचः	Mama
परमाणुः	Átomo
अर्विन श्रोडिन्गर	Erwin Schrödinger
मिथकशास्त्रं	Mitología
ताजमहल्	Taj Mahal
आत्मा	Alma
धर्मशास्त्रप्रविभागः	Religión
कोरियालि भाषा	Idioma coreano
नारायणी	Zona de Narayani
कैंटोनी भाषा	Cantonés estándar
रने देकार्त	René Descartes
वियतनामी भाषा	Idioma vietnamita
सिग्मण्ड् फ़्रुड्	Sigmund Freud
थाई भाषा	Idioma tailandés
जैनमतम्	Jainismo
जार्ज विल्हेम फ्रेडरिच हेगेल	Georg Wilhelm Friedrich Hegel
बहासा इंडोनेशिया	Idioma indonesio
विश्वपरम्परास्थानानि	Patrimonio de la Humanidad
इमान्युएल काण्ट	Immanuel Kant
सिखमतम्	Sijismo
योगः	Yoga
यकृत्	Hígado
वृक्का	Riñón
एडम स्मिथ	Adam Smith
महावीरः	Mahavira
ऋषभदेवः तीर्थङ्करः	Rishabha (tirthankara jaina)
सागरः	Océano
दिगम्बरः सम्प्रदायः	Digambar
थामस एक्विनास	Tomás de Aquino
विक्टोरिया	Victoria del Reino Unido
गौतमबुद्धः	Buda Gautama
लोथाल्	Lothal
सरदार वल्लभभाई पटेल	Sardar Vallabhbhai Patel
मुहम्मद्	Mahoma
चिक्रोड़ः	Sciuridae
सचिन तेण्डुलकर	Sachin Tendulkar
ए पि जे अब्दुल् कलाम्	Abdul Kalam
शाहरूख खान	Shahrukh Khan
टोनी ब्लेयर	Tony Blair
कैटरीना कैफ	Katrina Kaif
मार्टिन लूथर	Martín Lutero
आमिर खान	Aamir Khan
अमिताभ बच्चन	Amitabh Bachchan
नाभिः	Abdomen
बाङ्गला भाषा	Idioma bengalí
जिह्वा	Lengua (anatomía)
नाडी	Nervio
कण्ठः	Cuello
वक्त्रम्	Boca
अन्त्रम्	Intestino
वक्षःस्थलम्	Tórax
एलिज़बेथ २	Isabel II del Reino Unido
डायना राजकुमारी	Diana de Gales
कोयम्बत्तूरु	Coimbatore
ऊटी	Udhagamandalam
मैसूरु	Mysore
राफेल् नडाल्	Rafael Nadal
राहुल गान्धी	Rahul Gandhi
भारतीयराष्ट्रियकाङ्ग्रेस्	Congreso Nacional Indio
भारतीयजनतापक्षः	Bharatiya Janata Party
दादाभाई नवरोजि	Dadabhai Naoroji
दीपावलिः	Diwali
होलीपर्व	Holi
पैथागोरस्	Pitágoras
नवरात्रोत्सवः	Navratri
कुम्भोत्सवः	Kumbhamela
रायन गिग्स	Ryan Giggs
टॉम क्लेवेर्ली	Tom Cleverley
एश्ली यंग	Ashley Young
११००	1100
सर्पण-शीलः	Reptilia
अन्धता	Ceguera
जीवाणुः	Bacteria
तरुः	Árbol
द्राक्षा	Uva
मधु (आहारपदार्थः)	Miel
